code,brands,product_name,pnns_groups_2,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruit_vege_nut_100g,nutriscore_grade,fit_nutri_grade,opt_el_tri_50_grade,pes_el_tri_50_grade
8718907601603,Albert Heijn,Witte choco framboos vlaai,Biscuits and cakes,1355.0,21.0,15.0,0.18,2.72,0.2,3.00772804054054,d,e,d,e
4002590703947,Pulmoll,Pastilles Eucalyptus Menthol sans sucre,Sweets,980.0,0.5,0.0,0.0,0.0,0.0,0.0,b,c,e,e
5010043000917,Soreen,Malt loaf,Biscuits and cakes,1321.0,20.7,0.8,0.5,9.5,4.8,14.1625,a,a,c,c
3350033225572,Monoprix,Assortiment de recettes libanaises avec sauce sésame,unknown,990.0,2.2,2.8,1.3,8.0,4.9,27.37578125,b,a,c,c
5060490400037,"Made in Natural,Love Corn",Love Corn maïs grillé au sel de mer,unknown,1828.0,0.7,1.3,1.5,7.4,7.0,0.0,c,b,c,c
8886467103421,Pringles,Pringles Sour Cream and Onion,Appetizers,2170.0,2.2,13.2,1.7653,5.3,3.3,0.0,e,e,d,d
3596710340392,Auchan,Coleslaw,One-dish meals,457.0,5.5,0.6,0.8,1.0,2.0,76.0,b,a,b,b
7616700185638,"Migros,Jowa",Taillaule,Pastries,1346.0,10.0,5.0,0.85000002384186,8.0,3.0,0.0,c,c,c,c
3068230017929,sun,Mix N 1,Dried fruits,2575.0,5.4,5.7,0.02,23.0,7.7,100.0,a,a,a,a
8000500256152,"Kinder, Ferrero",Kinder schokobons bonbons de chocolat au lait fourres lait et noisettes sachet,Sweets,2401.0,52.2,21.2,0.28,8.3,0.0,0.0,e,e,e,e
3560070874125,Carrefour,Friture chocolat au lait praliné,Sweets,2261.0,52.0,17.0,0.14,7.9,2.7,10.3333333333333,e,e,e,e
4018077705892,"Vico,Intersnack",Crunchips au sel fin,Appetizers,2209.0,0.1,3.0,1.425,6.0,3.5,0.0,d,c,d,d
8718907005838,Albert Heijn,Winegums suikervrij,Sweets,895.0,0.4,0.2,0.1,0.1,0.0,0.0,b,c,e,e
7613036236034,"Nestlé, Kit Kat, Kitkat",KITKAT Sachet d'oeufs 120g,Chocolate products,2253.0,53.0,18.0,0.45,9.4,1.6,0.0,e,e,e,e
3701299421039,Vitaline,Barre daily carotte,Biscuits and cakes,1642.0,10.6,2.0,0.3,13.3,10.3,72.8,a,a,b,b
3596710493395,"Auchan, Santé",Biscuit the vert saveur mandarine,Biscuits and cakes,1742.0,13.0,3.2,0.2,8.9,4.7,12.84375,b,a,c,c
7616500657892,Frey,Prestige Caramel ,Sweets,2340.0,55.0,23.0,0.22,4.5,1.5,2.0,e,e,e,e
3596710346981,"Auchan, Auchan Bio",Macédoine de légumes,One-dish meals,152.0,1.2,0.1,0.67,3.5,3.0,66.6666666666667,a,a,b,b
8422410066612,Bonpreu,Patates camperoles,Appetizers,2165.0,1.3,3.2,1.1,8.4,5.6,0.0,c,b,c,c
3564700634981,"Tokapi,Marque Repère",,Appetizers,1972.0,0.8,2.0,0.9,6.6,4.0,0.0,b,b,d,d
4063367198205,k favourites,Kessel Chips Sweet Chili Style,Appetizers,2045.0,2.8,2.0,13.0,6.2,4.0,0.2,d,c,d,d
8410564001313,Frit Ravich,Patatas fritas,Appetizers,2282.0,0.6,4.2,0.9,6.4,4.9,6.44125,c,b,c,c
7500463823602,"Pals snacks barra sabor cacahuate, Pals barra cacahuate, Pals cacahuate, Barra, Barrita",Pals barra crema de cacahuate,Biscuits and cakes,795.0,20.0,2.0,0.0,12.0,10.0,20.0,a,a,b,c
7610700901137,Ricola,Ricola Menthe Pomme,Sweets,990.0,0.0,0.0,0.0,0.0,0.0,0.4,b,c,e,e
3760020508371,"JARDIN BIO ETIC,Jardin bio",Tartines craquantes Multicéréales,unknown,1603.0,0.6,0.5,0.5,9.6,4.7,0.0,a,a,c,c
7613032201098,Nestlé,BALATON® Ét,Biscuits and cakes,2104.0,42.1,13.7,0.19,5.2,2.4,0.0,e,e,e,e
3596710483709,"Auchan, Auchan Bio",biscuits avoine complete,Biscuits and cakes,1857.0,16.0,1.6,0.44,8.6,7.9,5.40516493055555,b,a,c,c
7610036012323,Villars,Chocolat lait Amandes & nougat,Chocolate products,2345.0,45.0,18.0,0.25,10.0,3.0,15.375,e,e,d,d
3596710364749,Auchan,Tortillas chips saveur chili,Appetizers,1979.0,4.0,2.0,1.3,6.6,4.0,0.138888888888886,c,b,d,d
5410081201220,Côte d'Or,l’original lait,Chocolate products,2201.0,55.0,18.0,0.33,7.8,3.3,0.0,e,e,d,d
8003130142260,San Carlo,1936 Antica Ricetta,Appetizers,1998.0,0.6,2.1,1.1,7.0,5.5,0.0,c,a,c,c
4035900476200,Kinkartz,Waffel Eier,Biscuits and cakes,2185.0,31.1,16.9,0.18,4.8,5.2,0.0,d,e,d,d
3760286460246,Hoope,Biscuits Bio Sésame Spiruline,Biscuits and cakes,1922.0,15.0,2.0,0.13,10.6,6.3,18.1,a,a,c,c
3564700508527,"Délisse,Marque Repère",Tiramisu speculoos,Dairy desserts,1111.0,24.0,4.5,0.3,4.4,1.5,0.175000000000001,d,d,d,d
3502790457714,"Goutez Craquez,Le Vieux Bistrot",Pépites wasabi,Appetizers,1559.0,11.0,4.4,1.5,14.0,14.0,0.0,d,c,b,c
3350031664892,Monoprix,"Chips - à l'ancienne, nature",Appetizers,2308.0,0.7,3.4,1.3,5.0,4.7,0.0,c,b,c,c
7501030424369,Bimbo,Barra Trigo Avena Con Nuez y Almendra Caja Display,Biscuits and cakes,744.0,7.0,3.0,0.06,3.0,2.0,12.0,b,c,d,d
6948939611178,百草味,百草味抹茶味麻薯,Biscuits and cakes,1656.0,0.0,0.0,0.4275,1.0,0.0,0.0,c,c,e,e
3596710387526,Auchan,Fines Gaufrettes framboise,Biscuits and cakes,1532.0,39.0,0.3,0.21,4.0,2.0,18.903515625,c,c,d,e
3770008383142,Protifast,Protifast barres Crousti' noisette,Biscuits and cakes,1495.0,2.5,7.9,0.8,34.2,28.0,9.71500000000001,c,c,a,b
3596710431557,Auchan,Galettes suédoises aux flocons d'avoine,Biscuits and cakes,2061.0,41.0,12.0,0.85,5.1,2.9,1.375,e,e,e,e
8859402900058,Allright Kids,Organic Rice Cakes Mini,Appetizers,1674.0,0.0,0.0,0.0,7.0,7.0,0.0,a,a,b,c
3256227092886,U,Tranches de cake abricots secs et müesli,Biscuits and cakes,1683.0,24.0,2.9,0.9,5.5,2.4,20.5,d,d,d,d
3760325480020,Omie,Chocolat au lait intense - 42%,Chocolate products,2369.0,39.0,24.0,0.27,9.30000019073486,3.59999990463257,0.0,e,e,d,d
3560071231781,Carrefour,Nature of nuts,Nuts,2217.0,18.0,3.7,0.01,21.0,11.0,100.0,a,a,a,a
4104420132382,Alnatura,Chocolat 64% Cacao,Chocolate products,2303.0,33.0,24.5,0.02,7.0,11.3,0.0,d,d,d,d
3270723001517,"Intermarché,Auchan",Pâte d'amande tricolore (26%),Sweets,1789.0,66.3,1.0,0.01,5.3,0.0,26.0,d,d,d,e
3564700205402,"Tokapi,Marque Repère",Triangles goût ratatouille,Appetizers,1992.0,1.7,2.0,3.8,4.8,4.5,0.0,d,d,c,d
7610700015605,RICOLA SANS SUCRE,Eucalyptus,Artificially sweetened beverages,986.0,0.0,0.0,0.0,0.0,0.0,0.0,e,c,e,e
3250391658787,"Adelie,Les Créations",Craquant chocolat noisettes,Biscuits and cakes,1866.0,24.0,13.5,0.07,7.3,4.0,20.0,d,d,d,d
3258561011097,Belle France,Croustillants Goût bacon,Appetizers,2038.0,2.6,1.9,1.6,6.4,3.0,0.0,d,c,d,d
